,label
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,1
532,1
